Times,Sigla,Plataforma de Aposta,Estádio,latitude,longitude,latitude_decimal,longitude_decimal
Palmeiras,PAL,Betfair,Allianz Parque,23°39’40”S,46°40’41”W,-23.66111,-46.67806
Corinthians,COR,Galera.bet,Neo Química Arena,23°39’40”S,46°28’41”W,-23.66111,-46.47806
Internacional,INT,EstrelaBet,Beira Rio,30°03’56”S,51°14’09”W,-30.06556,-51.23583
Atlético MG,CAM,Betano,Mineirão,19°51’57”S,43°58’16”W,-19.85444,-43.97111
Fluminense,FLU,Betano,Maracanã,22°54’44”S,43°13’49”W,-22.90722,-43.23028
Athlético PR,CAP,Estrelabet,Arena da Baixada,25°26’54”S,49°16’37”W,-25.44833,-49.27694
São Paulo,SPA,Sportsbet.io,Morumbi,23°36’41”S,46°43’12”W,-23.61139,-46.72
Santos,SAN,Pixbet,Vila Belmiro,23°57’04”S,46°20’20”W,-23.95111,-46.33889
Flamengo,FLA,Pixbet,Maracanã,22°54’44”S,43°13’49”W,-22.91222,-43.23028
Botafogo,BOT,Blaze.bet,Maracanã,22°54’44”S,43°13’49”W,-22.91222,-43.23028
Red Bull Bragantino,RBB,Betpix365.com,Nabi Abi Chedid,22°57’56”S,46°32’13”W,-22.96556,-46.53694
Goiás,GOI,Pixbet,Serrinha,16°42’40”S,49°15’41”W,-16.96556,-49.26139
Cuiabá,CUI,LuckSports.bet,Arena Pantanal,15°36’11”S,56°07’12”W,-16.71111,-56.12
Coritiba,CFC,Dafabet,Couto Pereira,25°25’17”S,49°15’77”W,-25.42139,-49.27139
América MG,AME,Pixbet,Independência,19°54’31”S,43°55’04”W,-19.90861,-43.91778
Avaí,AVA,Pixbet,Ressacada,27°39’59”S,48°31’54”W,-27.66639,-48.53167
Ceará,CEA,Betcris,Vovozão,03°44’48”S,38°32’43”W,-3.746667,-38.54528
Atlético GO,ACG,Amuletobet,Castelo do Dragão,"16°40'12""S","49°17'02""W",-16.67,-49.28389
Juventude,JUV,Pixbet,Alfredo Jaconi,29°09’44”S,51°10’35”W,-29.16222,-51.17639
Fortaleza,FOR,Betcris,Alcides Santos,03°46’01”S,38°34’22”W,-3.766944,-38.57278
